id,Code,Industry,Time,Net income,EPS,PRICE,Audit,Opion,Auditdate,Currentassets,Longassets,Totalassets,Liability,Currentliability,Longliability,Equity,Revenues,EV,Cash,Cash1,shortinvestment,Receilvables,Inventory,depreclation,Bookvalue
233,PVT,VT,2002,1221500695571,2829,26400,Deloitte,CNTP,29-02-2024,6.29747E+12,1.11925E+13,1.749E+13,8.45956E+12,3.39221E+12,5.06735E+12,9.03039E+12,9.55598E+12,8.54439E+12,3.48647E+12,1.19444E+12,9.44337E+11,2.32665E+11,1.61541E+11,"13,493,370,886,293",27902
234,QCG,XD,1994,3187818561,27,10050,DFK,CNTP,29-03-2024,7.53077E+12,2.03637E+12,9.56714E+12,5.22533E+12,4.95657E+12,2.6876E+11,4.34181E+12,4.32488E+11,2.76505E+12,,4.41601E+11,2.84787E+11,7.03619E+12,1.41715E+11,"3,318,497,056,478",15781
235,QNP,VT,1976,115162604705,2850,,UHY,CNTP,26-02-2024,6.02414E+11,6.64727E+11,1.26714E+12,4.37183E+11,2.21959E+11,2.15225E+11,8.29958E+11,9.42356E+11,,1.385E+11,1.61518E+11,1.5123E+11,21049291353,7348273000,"-22,338,538,118",20538
236,RAL,SX,1961,584271608477,25124,108100,AASC,CNTP,29-03-2024,7.3109E+12,4.40788E+11,7.75169E+12,4.77742E+12,4.77658E+12,837486394,2.97427E+12,8.33027E+12,2.54548E+12,,5.22048E+12,5.04951E+12,1.26725E+12,1337344600,"4,795,584,878,507",126310
237,RDP,SX,1960,-146700946041,-2905,9300,AASCN,CNTPGT,29-03-2024,1.47554E+12,6.68746E+11,2.14428E+12,1.80043E+12,1.59738E+12,2.03048E+11,3.43857E+11,2.60811E+12,4.56349E+11,65313510795,5.0796E+11,3.76212E+11,8.75308E+11,6546795706,"1,782,986,284,334",7008
238,REE,XD,1977,2786658064221,5354,56800,EY,CNTP,8/3/2024,9.52418E+12,2.53881E+13,3.49123E+13,1.41422E+13,3.94455E+12,1.01976E+13,2.07701E+13,8.57935E+12,2.32145E+13,1.13237E+12,3.78007E+12,3.38381E+12,1.40875E+12,17286556315,"30,934,918,497,031",50819
239,S4A,TI,2008,137405291118,3256,33600,AFA,CNTP,26-02-2024,1.95334E+11,8.05128E+11,1.00046E+12,4.10016E+11,1.91555E+11,2.18461E+11,5.90445E+11,2.86397E+11,1.41792E+12,29205032329,64149357446,62993329484,3158721486,,"1,611,964,361,643",13992
240,SAB,SX,1977,4255052995709,3132,63000,KPMG,CNTP,28-03-2024,2.65534E+13,7.50322E+12,3.40566E+13,8.57147E+12,8.22461E+12,3.46858E+11,2.54852E+13,3.07068E+13,8.08014E+13,1.77411E+13,1.2294E+12,4.67367E+11,2.39308E+12,34701581051,"76,462,479,215,738",19871
241,SAM,SX,1986,33239920007,48,6560,AASC,CNTP,25-03-2024,2.28369E+12,4.3082E+12,6.59189E+12,1.98582E+12,1.72305E+12,2.62774E+11,4.60607E+12,2.20449E+12,2.49254E+12,39521318147,1.22397E+12,3.86157E+11,4.97476E+11,30186243394,"3,171,097,983,010",12122
242,SAV,SX,1985,-10183981994,-533,14700,AASCS,CNTP,12/3/2024,3.44948E+11,2.70065E+11,6.15013E+11,2.81266E+11,2.75341E+11,5924171460,3.33747E+11,7.97652E+11,3.16941E+11,,76227673859,74415358083,94448977369,456000000,"384,656,269,120",15480
243,SBA,TI,2007,175330608797,2899,25900,AAC,CNTP,24-02-2024,1.96829E+11,1.03623E+12,1.23306E+12,2.26172E+11,1.33024E+11,93148548154,1.00688E+12,3.75995E+11,1.56665E+12,,1.76458E+11,1.71732E+11,1756007407,2024000000,"1,716,239,651,127",16646
244,SBG,SX,2015,32543924290,1291,15700,NVT,CNTP,25-03-2024,9.35976E+11,2.61315E+11,1.19729E+12,7.66431E+11,7.04316E+11,62115796532,4.3086E+11,3.66217E+12,3.925E+11,,6.16563E+11,4.6751E+11,2.43919E+11,735494795,"478,607,478,874",17234
245,SBT,SX,1995,,,13200,,,,,,,,,,,,,,,,,,,
246,SBV,SX,1995,6752422852,79,9900,Grant Thornton,CNTP,30-03-2024,5.28748E+11,2.97603E+11,8.26351E+11,3.25802E+11,3.11177E+11,14625173650,5.00549E+11,4.45062E+11,2.70507E+11,3155375000,2.12165E+11,2.04245E+11,2.07185E+11,2232021727,"453,563,814,842",18319
247,SC5,XD,2003,36408141903,2187,19000,DFK,CNTP,8/3/2024,2.45804E+12,81953327393,2.54E+12,2.18481E+12,2.15197E+12,32845704057,3.55183E+11,2.60771E+12,2.84686E+11,32689606286,8.85126E+11,5.46944E+11,8.49807E+11,,"422,212,302,996",23705
248,SCR,XD,2004,15422380326,22,7400,EY,CNTP,30-03-2024,7.53157E+12,3.09961E+12,1.06312E+13,5.50603E+12,3.71211E+12,1.79392E+12,5.12515E+12,3.71275E+11,2.9279E+12,18115148432,3.56928E+12,4.41396E+11,3.66472E+12,9.02601E+11,"5,806,831,236,544",12953
249,SCS,VT,2008,498307307104,4638,71900,A&C,CNTP,6/3/2024,1.16252E+12,5.40479E+11,1.703E+12,3.64214E+11,3.58404E+11,5809494813,1.33879E+12,7.04825E+11,6.78586E+12,8.99E+11,96198896360,61055074935,,23000000,"6,586,933,534,143",13423
250,SFC,BL,2000,28308717994,2226,23700,EY,CNTP,30-11-2023,1.71497E+11,1.20765E+11,2.92262E+11,1.06623E+11,1.02598E+11,4024504100,1.85639E+11,1.63044E+12,2.66265E+11,,8721036662,8117710377,19351699569,5000000,"161,655,200,459",16524
251,SFG,SX,1976,56820856420,1186,8220,AASC,CNTP,5/3/2024,1.00014E+12,2.43809E+11,1.24395E+12,5.90406E+11,5.90138E+11,268237926,6.53541E+11,1.5601E+12,3.93716E+11,5.063E+11,1.4877E+11,1.50098E+11,2.61109E+11,174741000,"814,049,523,728",13645
252,SFI,VT,1992,103120257241,4341,31650,AASC,CNTP,29-02-2024,5.76695E+11,3.14173E+11,8.90867E+11,1.56188E+11,1.56097E+11,91160000,7.3468E+11,1.01753E+12,6.99023E+11,1.14049E+11,1.46186E+11,1.24E+11,46919481751,250473600,"422,101,595,279",33264
253,SGN,VT,2004,241138310966,6377,72500,Deloitte,CNTP,14-03-2024,1.05752E+12,2.31673E+11,1.28919E+12,2.76873E+11,2.57977E+11,18895880323,1.01232E+12,1.45565E+12,2.43119E+12,4.12E+11,3.03729E+11,3.47171E+11,10484335395,359295300,"2,108,872,752,546",30188
254,SGR,XD,1983,103074050589,1700,19550,AISC,CNTP,21-03-2024,1.52481E+12,5.23037E+11,2.04785E+12,1.12957E+12,8.25616E+11,3.03954E+11,9.18276E+11,99164951899,1.173E+12,7152950000,9.3482E+11,1.41728E+11,5.32649E+11,1.91777E+11,"1,475,373,813,670",15302
255,SGT,CN,2002,42810046248,289,11300,AISC,CNTP,28-03-2024,5.06142E+12,2.08626E+12,7.14768E+12,5.18376E+12,2.39653E+12,2.78724E+12,1.96392E+12,1.30976E+12,1.67244E+12,90180301371,2.1226E+12,6.28613E+11,2.71259E+12,28574918860,"4,947,605,210,773",13269
256,SHA,SX,2004,12386563662,370,4650,UHY,CNTP,25-03-2024,8.13303E+11,1.98926E+11,1.01223E+12,5.99158E+11,5.97993E+11,1165527638,4.1307E+11,1.15623E+12,1.55527E+11,19200000000,3.01788E+11,2.74217E+11,4.36421E+11,630743934,"666,556,353,770",12350
257,SHI,SX,1998,59089568364,102,13600,A&C,CNTP,28-03-2024,5.6106E+12,1.97119E+12,7.58179E+12,5.57437E+12,4.86376E+12,7.10604E+11,2.00742E+12,9.78065E+12,2.20126E+12,3.49579E+11,3.89231E+12,3.01781E+12,1.2188E+12,3205070795,"5,897,368,330,819",12402
258,SHP,TI,2004,275280935039,2629,31150,Deloitte,CNTP,5/3/2024,3.07529E+11,1.23827E+12,1.5458E+12,1.89465E+11,1.60465E+11,29000000000,1.35634E+12,6.61183E+11,3.15258E+12,,2.4236E+11,2.39588E+11,6112196509,5000000,"3,212,710,910,770",13402
259,SIP,TI,2007,1003655108735,4574,63600,EY,CNTP,30-03-2024,8.70725E+12,1.23532E+13,2.10604E+13,1.70324E+13,3.061E+12,1.39714E+13,4.02805E+12,6.67946E+12,1.1563E+13,3.13864E+12,3.50037E+12,3.75129E+11,4.70958E+11,8.00393E+11,"12,419,554,669,398",22156
